epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,1245.8,0.96916,0.62959,1.22097,0.74764,0.75174,0.77242,0.51879,1.19428,0.80448,1.44176,0.00249545,0.00249545,0.00249545
118,1256.28,1.01568,0.70935,1.20359,0.73062,0.75091,0.77129,0.5154,1.20679,0.82552,1.45101,0.00247386,0.00247386,0.00247386
119,1266.71,0.9734,0.62211,1.21662,0.74522,0.73177,0.77513,0.51523,1.20721,0.82929,1.45641,0.00245227,0.00245227,0.00245227
120,1277.18,0.97042,0.60824,1.19266,0.75565,0.74296,0.77676,0.52544,1.17901,0.80496,1.4348,0.00243068,0.00243068,0.00243068
121,1287.66,0.98973,0.63313,1.21281,0.77123,0.73835,0.78256,0.51648,1.21031,0.81908,1.45764,0.00240909,0.00240909,0.00240909
122,1298.09,0.9491,0.64197,1.19438,0.7747,0.75416,0.78506,0.52539,1.17816,0.79143,1.44427,0.0023875,0.0023875,0.0023875
123,1308.56,0.95829,0.62197,1.18611,0.75589,0.74013,0.77329,0.5198,1.18581,0.81979,1.45735,0.00236591,0.00236591,0.00236591
124,1319.03,0.99445,0.64564,1.19409,0.77346,0.73008,0.77974,0.5141,1.23685,0.8339,1.48433,0.00234432,0.00234432,0.00234432
125,1329.5,0.9569,0.61824,1.17444,0.7499,0.76121,0.79099,0.53428,1.18613,0.7992,1.44592,0.00232273,0.00232273,0.00232273
126,1340.13,0.9588,0.59908,1.18392,0.76773,0.7328,0.778,0.52332,1.20023,0.8109,1.45246,0.00230114,0.00230114,0.00230114
127,1350.62,0.95238,0.60448,1.16612,0.73634,0.76009,0.7858,0.52712,1.1866,0.80324,1.44197,0.00227955,0.00227955,0.00227955
128,1361.03,0.93191,0.57911,1.17733,0.77234,0.72893,0.77992,0.52853,1.18932,0.80604,1.4583,0.00225795,0.00225795,0.00225795
129,1371.51,0.94694,0.61423,1.15571,0.7449,0.75208,0.78693,0.53046,1.19336,0.80622,1.45543,0.00223636,0.00223636,0.00223636
130,1381.91,0.94747,0.58353,1.17853,0.74439,0.75106,0.78702,0.53562,1.16922,0.79894,1.43919,0.00221477,0.00221477,0.00221477
131,1392.51,0.93448,0.57394,1.1729,0.74907,0.75713,0.78823,0.52577,1.2121,0.80386,1.46614,0.00219318,0.00219318,0.00219318
132,1402.96,0.93439,0.57636,1.17462,0.7786,0.73354,0.78624,0.52962,1.18839,0.79186,1.45309,0.00217159,0.00217159,0.00217159
133,1413.35,0.91937,0.56674,1.18997,0.76803,0.7427,0.78559,0.52408,1.20895,0.79268,1.46259,0.00215,0.00215,0.00215
134,1423.78,0.94498,0.57957,1.19176,0.77409,0.73425,0.7725,0.51918,1.178,0.7961,1.45861,0.00212841,0.00212841,0.00212841
135,1434.23,0.94544,0.58715,1.16139,0.75927,0.74167,0.78127,0.53076,1.16277,0.78667,1.44534,0.00210682,0.00210682,0.00210682
136,1444.65,0.92612,0.58791,1.17163,0.73822,0.75279,0.77882,0.52062,1.19033,0.78882,1.45613,0.00208523,0.00208523,0.00208523
137,1455.11,0.94691,0.62147,1.1788,0.75281,0.74782,0.78604,0.52379,1.1931,0.79595,1.45037,0.00206364,0.00206364,0.00206364
138,1465.56,0.91914,0.56893,1.18373,0.78491,0.72215,0.78079,0.53131,1.15849,0.79572,1.43361,0.00204205,0.00204205,0.00204205
139,1475.97,0.88678,0.58309,1.17264,0.73201,0.76284,0.78112,0.52872,1.17776,0.77852,1.45156,0.00202045,0.00202045,0.00202045
140,1486.43,0.89241,0.54933,1.13822,0.71942,0.76943,0.78026,0.52975,1.17985,0.77843,1.45317,0.00199886,0.00199886,0.00199886
141,1496.89,0.91238,0.57249,1.15667,0.73167,0.77193,0.78189,0.52647,1.18909,0.79829,1.45735,0.00197727,0.00197727,0.00197727
142,1507.34,0.88413,0.53741,1.1347,0.7416,0.76509,0.77806,0.52298,1.20398,0.78991,1.48107,0.00195568,0.00195568,0.00195568
143,1517.8,0.89929,0.5385,1.14143,0.77325,0.75084,0.78383,0.52928,1.18807,0.77551,1.46093,0.00193409,0.00193409,0.00193409
144,1528.19,0.88675,0.53773,1.16714,0.7747,0.74251,0.78761,0.53423,1.17495,0.76906,1.45862,0.0019125,0.0019125,0.0019125
145,1538.65,0.89103,0.54664,1.14586,0.77424,0.74841,0.78676,0.53691,1.17386,0.7721,1.46176,0.00189091,0.00189091,0.00189091
146,1549.25,0.91698,0.58514,1.16228,0.76288,0.75864,0.79019,0.52994,1.17254,0.77481,1.45268,0.00186932,0.00186932,0.00186932
147,1559.7,0.89678,0.55292,1.14839,0.76959,0.74171,0.78238,0.5245,1.20363,0.78885,1.47845,0.00184773,0.00184773,0.00184773
148,1570.19,0.90196,0.56566,1.13747,0.77144,0.7447,0.79258,0.53852,1.16954,0.77079,1.45936,0.00182614,0.00182614,0.00182614
149,1580.81,0.88955,0.55778,1.14896,0.76084,0.74951,0.78152,0.52533,1.18885,0.78533,1.46282,0.00180455,0.00180455,0.00180455
150,1591.28,0.88211,0.56273,1.15319,0.76576,0.74471,0.78757,0.53065,1.1768,0.78088,1.45303,0.00178295,0.00178295,0.00178295
151,1601.72,0.89046,0.5583,1.14616,0.75451,0.74915,0.78272,0.52993,1.18106,0.78426,1.46741,0.00176136,0.00176136,0.00176136
152,1612.15,0.88531,0.55946,1.13922,0.77486,0.74649,0.78756,0.5314,1.17442,0.7691,1.46586,0.00173977,0.00173977,0.00173977
153,1622.61,0.88329,0.53502,1.14333,0.75162,0.74762,0.78535,0.52377,1.20953,0.79126,1.49533,0.00171818,0.00171818,0.00171818
154,1633.66,0.88514,0.53093,1.1362,0.76641,0.75074,0.78648,0.53023,1.19361,0.7757,1.47481,0.00169659,0.00169659,0.00169659
155,1644.03,0.87265,0.52096,1.14467,0.78174,0.74662,0.78419,0.52563,1.1927,0.778,1.47296,0.001675,0.001675,0.001675
156,1654.41,0.84789,0.51445,1.12169,0.76413,0.74981,0.78397,0.52981,1.17674,0.76814,1.46321,0.00165341,0.00165341,0.00165341
157,1664.79,0.84437,0.50962,1.1432,0.74239,0.77714,0.78555,0.52582,1.18547,0.75786,1.47823,0.00163182,0.00163182,0.00163182
158,1675.2,0.86923,0.52318,1.13294,0.74228,0.75185,0.7859,0.53464,1.1708,0.76302,1.45923,0.00161023,0.00161023,0.00161023
159,1685.62,0.89002,0.5748,1.15348,0.75964,0.75435,0.78521,0.50953,1.27798,0.80279,1.5391,0.00158864,0.00158864,0.00158864
160,1695.98,0.91026,0.60159,1.1568,0.74208,0.75641,0.78932,0.52757,1.18707,0.76178,1.47765,0.00156705,0.00156705,0.00156705
161,1706.42,0.84914,0.50973,1.11199,0.77987,0.72952,0.78651,0.51728,1.23637,0.78949,1.50732,0.00154545,0.00154545,0.00154545
162,1716.8,0.86453,0.51613,1.12161,0.77584,0.73178,0.78689,0.52743,1.20286,0.78596,1.48562,0.00152386,0.00152386,0.00152386
163,1727.22,0.85751,0.53618,1.13085,0.72718,0.77066,0.79089,0.53402,1.1897,0.76431,1.47448,0.00150227,0.00150227,0.00150227
164,1737.59,0.84675,0.50573,1.13212,0.77624,0.74055,0.78883,0.52651,1.22175,0.77487,1.4987,0.00148068,0.00148068,0.00148068
165,1748,0.84767,0.51485,1.10559,0.7397,0.76069,0.78646,0.52589,1.20785,0.77553,1.48475,0.00145909,0.00145909,0.00145909
166,1758.4,0.83492,0.49714,1.11946,0.75964,0.74957,0.79119,0.52493,1.21457,0.76955,1.49145,0.0014375,0.0014375,0.0014375
167,1768.8,0.82528,0.49064,1.10622,0.77483,0.74299,0.79417,0.52548,1.22298,0.77743,1.50253,0.00141591,0.00141591,0.00141591
168,1779.23,0.82495,0.48977,1.08847,0.76499,0.74289,0.79405,0.53402,1.19128,0.77523,1.48578,0.00139432,0.00139432,0.00139432
169,1789.64,0.83843,0.49445,1.12051,0.75444,0.75755,0.79283,0.53152,1.18028,0.77709,1.4706,0.00137273,0.00137273,0.00137273
170,1800.06,0.84229,0.4976,1.11772,0.77671,0.74366,0.79033,0.52341,1.18932,0.76596,1.4881,0.00135114,0.00135114,0.00135114
171,1810.44,0.84674,0.50483,1.12613,0.77537,0.74661,0.78746,0.52347,1.19195,0.76133,1.48187,0.00132955,0.00132955,0.00132955
172,1820.92,0.84601,0.50832,1.11831,0.77018,0.75118,0.7852,0.52367,1.18809,0.77579,1.4838,0.00130795,0.00130795,0.00130795
173,1831.34,0.83394,0.51034,1.09839,0.7723,0.74821,0.7885,0.5238,1.19462,0.77102,1.48521,0.00128636,0.00128636,0.00128636
174,1841.92,0.84492,0.4939,1.10218,0.77085,0.75179,0.78673,0.52104,1.21021,0.77516,1.49908,0.00126477,0.00126477,0.00126477
175,1852.41,0.84461,0.49466,1.09728,0.76122,0.75283,0.78936,0.52861,1.17515,0.76751,1.46331,0.00124318,0.00124318,0.00124318
176,1862.86,0.83379,0.4922,1.10135,0.77453,0.74303,0.79451,0.53082,1.19573,0.7754,1.48475,0.00122159,0.00122159,0.00122159
177,1873.29,0.82224,0.48566,1.10632,0.7481,0.77241,0.79406,0.53643,1.17209,0.76048,1.46876,0.0012,0.0012,0.0012
178,1883.75,0.82342,0.48745,1.07821,0.75423,0.75345,0.78471,0.52429,1.21107,0.77713,1.50059,0.00117841,0.00117841,0.00117841
179,1894.17,0.82192,0.49012,1.11191,0.7466,0.75632,0.78621,0.5327,1.17651,0.77981,1.4714,0.00115682,0.00115682,0.00115682
180,1904.59,0.84291,0.52775,1.11921,0.76545,0.72275,0.78138,0.52573,1.18559,0.78618,1.48156,0.00113523,0.00113523,0.00113523
181,1914.94,0.82565,0.51033,1.11654,0.74471,0.74735,0.77712,0.51644,1.19858,0.77151,1.48094,0.00111364,0.00111364,0.00111364
182,1925.38,0.80218,0.47737,1.0923,0.77211,0.73904,0.77422,0.51852,1.20755,0.79089,1.49032,0.00109205,0.00109205,0.00109205
